Run Summary,Total Loads Of Ore:,1489,Station Count,2,Mining Truck Count,100
Truck Efficiency,62,Station Efficiency,86
,Mining Truck,,,,,,Unloading Station
Slice Count,MINING,TRAVELING_TO_STATION,IDLE,UNLOADING,TRAVELING_TO_MINE,BUSY,IDLE
191,66,13,4,4,13,2,0
192,66,15,2,4,13,2,0
193,67,14,2,4,13,2,0
194,69,11,3,4,13,2,0
195,70,9,4,4,13,2,0
196,70,9,3,4,14,2,0
197,71,9,2,4,14,2,0
198,70,9,3,4,14,2,0
199,70,9,3,4,14,2,0
200,69,11,2,4,14,2,0
201,69,13,2,2,14,0,2
202,66,17,1,2,14,2,0
203,68,16,1,3,12,1,1
204,67,18,0,3,12,2,0
205,65,19,1,4,11,2,0
206,64,20,1,4,11,2,0
207,66,17,2,4,11,2,0
208,67,16,2,4,11,2,0
209,67,13,5,4,11,2,0
210,65,15,5,2,13,0,2
211,66,13,6,2,13,2,0
212,66,10,8,4,12,2,0
213,67,8,9,4,12,2,0
214,66,11,7,4,12,2,0
215,67,11,6,4,12,2,0
216,68,10,6,4,12,2,0
217,68,10,6,4,12,2,0
218,70,9,6,3,12,1,1
219,69,9,5,3,14,2,0
220,66,13,5,3,13,1,1
221,66,12,6,3,13,2,0
222,68,11,6,3,12,1,1
223,70,10,5,3,12,2,0
224,72,8,5,4,11,2,0
225,72,10,3,4,11,2,0
226,73,10,3,3,11,1,1
227,73,6,6,3,12,2,0
228,74,5,6,4,11,2,0
229,75,5,4,4,12,2,0
230,73,9,4,2,12,0,2
231,69,14,2,2,13,2,0
232,69,14,2,4,11,2,0
233,68,16,1,4,11,2,0
234,68,17,1,3,11,1,1
235,67,18,0,3,12,2,0
236,66,21,0,2,11,0,2
237,66,19,2,2,11,2,0
238,67,15,5,4,9,2,0
239,65,15,5,4,11,2,0
240,66,13,6,4,11,2,0
241,66,13,6,4,11,2,0
242,66,13,6,4,11,2,0
243,66,11,7,4,12,2,0
244,68,9,7,4,12,2,0
245,66,10,6,4,14,2,0
246,65,11,6,4,14,2,0
247,62,15,5,4,14,2,0
248,60,17,5,4,14,2,0
249,61,16,5,4,14,2,0
250,63,15,4,4,14,2,0
251,62,18,3,3,14,1,1
252,61,19,3,3,14,2,0
253,61,18,4,4,13,2,0
254,62,14,7,4,13,2,0
255,64,10,9,4,13,2,0
256,65,10,8,4,13,2,0
257,67,10,6,4,13,2,0
258,68,8,7,4,13,2,0
259,70,5,8,4,13,2,0
260,69,5,8,4,14,2,0
261,69,6,7,4,14,2,0
262,69,8,5,4,14,2,0
263,69,9,4,4,14,2,0
264,71,9,2,4,14,2,0
265,70,11,2,3,14,1,1
266,71,12,0,3,14,2,0
267,71,12,0,4,13,2,0
268,72,11,0,4,13,2,0
269,73,10,0,4,13,2,0
270,71,12,0,4,13,2,0
271,72,13,0,2,13,0,2
272,73,11,1,2,13,2,0
273,72,13,1,3,11,1,1
274,69,15,1,3,12,2,0
275,69,16,1,3,11,1,1
276,69,17,0,3,11,2,0
277,67,17,2,4,10,2,0
278,68,17,2,3,10,1,1
279,69,17,1,3,10,2,0
280,68,15,2,4,11,2,0
281,69,12,4,4,11,2,0
282,69,11,4,4,12,2,0
283,71,9,4,4,12,2,0
284,70,7,6,4,13,2,0
285,69,9,5,4,13,2,0
286,71,8,4,4,13,2,0
287,72,7,3,4,14,2,0
288,73,7,2,4,14,2,0
289,74,7,1,4,14,2,0
290,73,10,0,3,14,1,1
291,72,11,0,3,14,2,0
292,73,9,1,4,13,2,0
293,74,10,1,2,13,0,2
294,75,11,0,1,13,1,1
295,73,14,0,2,11,1,1
296,74,14,0,2,10,1,1
297,74,13,1,3,9,2,0
298,73,13,2,4,8,2,0
299,71,15,1,4,9,2,0
300,71,16,0,4,9,2,0
301,71,17,0,3,9,1,1
302,68,16,2,3,11,2,0
303,65,19,2,3,11,1,1
304,65,18,2,3,12,2,0
305,63,18,3,4,12,2,0
306,64,16,4,4,12,2,0
307,63,17,4,4,12,2,0
308,63,17,4,4,12,2,0
309,63,16,5,4,12,2,0
310,63,13,7,4,13,2,0
311,61,16,6,4,13,2,0
312,60,15,7,4,14,2,0
313,61,15,6,4,14,2,0
314,61,14,7,4,14,2,0
315,61,14,7,4,14,2,0
316,60,15,7,4,14,2,0
317,60,16,7,3,14,1,1
318,60,14,9,3,14,2,0
319,61,13,9,4,13,2,0
320,63,12,8,4,13,2,0
321,64,11,8,4,13,2,0
322,61,14,8,4,13,2,0
323,62,12,9,4,13,2,0
324,63,11,9,4,13,2,0
325,63,11,9,4,13,2,0
326,64,10,8,4,14,2,0
327,65,11,7,3,14,1,1
328,66,11,6,3,14,2,0
329,65,9,9,4,13,2,0
330,66,9,8,4,13,2,0
331,67,9,7,4,13,2,0
332,68,8,7,4,13,2,0
333,70,8,5,4,13,2,0
334,70,9,4,4,13,2,0
335,72,8,4,3,13,1,1
336,71,7,5,3,14,2,0
337,72,7,5,3,13,1,1
338,71,9,4,3,13,2,0
339,72,9,4,3,12,1,1
340,71,12,2,3,12,2,0
341,73,10,2,4,11,2,0
342,74,11,0,4,11,2,0
343,74,11,0,4,11,2,0
344,72,13,0,3,12,1,1
345,72,12,1,3,12,2,0
346,72,12,1,3,12,1,1
347,69,14,2,3,12,2,0
348,69,15,2,2,12,0,2
349,68,17,1,2,12,2,0
350,69,16,1,4,10,2,0
351,71,13,2,4,10,2,0
352,70,14,2,4,10,2,0
353,68,16,1,4,11,2,0
354,68,13,4,4,11,2,0
355,65,16,3,4,12,2,0
356,64,16,4,4,12,2,0
357,61,18,4,3,14,1,1
358,62,19,2,3,14,2,0
359,63,17,3,4,13,2,0
360,64,15,4,4,13,2,0
361,66,13,4,4,13,2,0
362,65,12,6,4,13,2,0
363,65,11,7,4,13,2,0
364,66,9,8,4,13,2,0
365,68,8,7,4,13,2,0
366,67,9,6,4,14,2,0
367,69,8,5,4,14,2,0
368,68,11,3,4,14,2,0
369,67,11,4,4,14,2,0
370,67,11,4,4,14,2,0
371,68,11,3,4,14,2,0
372,66,15,1,4,14,2,0
373,67,14,1,4,14,2,0
374,67,16,0,3,14,1,1
375,65,17,1,3,14,2,0
376,66,15,2,4,13,2,0
377,66,15,2,4,13,2,0
378,64,18,1,4,13,2,0
379,64,16,3,4,13,2,0
380,66,15,3,3,13,1,1
381,67,14,3,3,13,2,0
382,67,12,5,4,12,2,0
383,67,12,4,4,13,2,0
384,66,13,4,4,13,2,0
385,67,10,6,4,13,2,0
386,66,11,6,4,13,2,0
387,67,12,4,4,13,2,0
388,68,12,3,4,13,2,0
389,64,15,3,4,14,2,0
390,66,14,2,4,14,2,0
391,67,12,3,4,14,2,0
392,65,15,3,3,14,1,1
393,66,13,4,3,14,2,0
394,66,14,4,3,13,1,1
395,68,13,3,3,13,2,0
396,69,9,6,4,12,2,0
397,69,11,4,4,12,2,0
398,70,11,3,4,12,2,0
399,72,7,5,4,12,2,0
400,73,7,4,4,12,2,0
401,71,8,4,4,13,2,0
402,72,9,3,3,13,1,1
403,72,9,2,3,14,2,0
404,72,9,2,4,13,2,0
405,72,10,1,4,13,2,0
406,73,11,1,2,13,0,2
407,73,12,0,2,13,2,0
408,74,10,1,4,11,2,0
409,73,12,1,3,11,1,1
410,74,12,0,3,11,2,0
411,73,12,0,4,11,2,0
412,71,14,0,4,11,2,0
413,73,13,0,3,11,1,1
414,73,13,0,3,11,2,0
415,70,15,0,3,12,1,1
416,69,15,1,3,12,2,0
417,69,16,1,3,11,1,1
418,70,14,1,3,12,2,0
419,70,12,3,4,11,2,0
420,71,13,2,3,11,1,1
421,71,13,2,3,11,2,0
422,69,13,3,4,11,2,0
423,68,13,4,4,11,2,0
424,68,12,4,4,12,2,0
425,68,14,2,4,12,2,0
426,68,13,2,4,13,2,0
427,69,13,1,4,13,2,0
428,71,11,1,4,13,2,0
429,70,10,2,4,14,2,0
430,71,8,3,4,14,2,0
