Run Summary,Total Loads Of Ore:,1489,Station Count,2,Mining Truck Count,100
Truck Efficiency,62,Station Efficiency,86
,Mining Truck,,,,,,Unloading Station
Slice Count,MINING,TRAVELING_TO_STATION,IDLE,UNLOADING,TRAVELING_TO_MINE,BUSY,IDLE
839,70,7,6,3,14,1,1
840,70,9,4,3,14,2,0
841,70,11,4,2,13,0,2
842,69,12,4,2,13,2,0
843,68,13,4,4,11,2,0
844,69,12,4,4,11,2,0
845,69,14,4,2,11,0,2
846,68,16,3,2,11,2,0
847,69,15,3,4,9,2,0
848,66,17,3,4,10,2,0
849,65,17,4,4,10,2,0
850,62,17,5,4,12,2,0
851,63,17,4,4,12,2,0
852,62,18,4,4,12,2,0
853,62,17,5,4,12,2,0
854,60,18,4,4,14,2,0
855,58,18,6,4,14,2,0
856,57,18,7,4,14,2,0
857,58,16,8,4,14,2,0
858,59,16,7,4,14,2,0
859,61,13,8,4,14,2,0
860,62,12,8,4,14,2,0
861,62,12,8,4,14,2,0
862,62,10,10,4,14,2,0
863,63,8,11,4,14,2,0
